entidad,edad_original,edad,sexo,poblacion
Total,0 Años,0,Hombres,916140
Total,0 Años,0,Mujeres,896837
Total,1 Año,1,Hombres,967223
Total,1 Año,1,Mujeres,942735
Total,2 Años,2,Hombres,1031816
Total,2 Años,2,Mujeres,1009303
Total,3 Años,3,Hombres,1060809
Total,3 Años,3,Mujeres,1047597
Total,4 Años,4,Hombres,1101494
Total,4 Años,4,Mujeres,1073411
Total,5 Años,5,Hombres,1106361
Total,5 Años,5,Mujeres,1072540
Total,6 Años,6,Hombres,1057642
Total,6 Años,6,Mujeres,1037707
Total,7 Años,7,Hombres,1087091
Total,7 Años,7,Mujeres,1059203
Total,8 Años,8,Hombres,1140496
Total,8 Años,8,Mujeres,1093999
Total,9 Años,9,Hombres,1061501
Total,9 Años,9,Mujeres,1047839
Total,10 Años,10,Hombres,1174026
Total,10 Años,10,Mujeres,1125241
Total,11 Años,11,Hombres,1066706
Total,11 Años,11,Mujeres,1034766
Total,12 Años,12,Hombres,1146128
Total,12 Años,12,Mujeres,1103439
Total,13 Años,13,Hombres,1082309
Total,13 Años,13,Mujeres,1058332
Total,14 Años,14,Hombres,1085091
Total,14 Años,14,Mujeres,1067502
Total,15 Años,15,Hombres,1113136
Total,15 Años,15,Mujeres,1080658
Total,16 Años,16,Hombres,1054448
Total,16 Años,16,Mujeres,1032036
Total,17 Años,17,Hombres,1122956
Total,17 Años,17,Mujeres,1089440
Total,18 Años,18,Hombres,1172693
Total,18 Años,18,Mujeres,1134982
Total,19 Años,19,Hombres,998917
Total,19 Años,19,Mujeres,1007424
Total,20 Años,20,Hombres,1146232
Total,20 Años,20,Mujeres,1161603
Total,21 Años,21,Hombres,957236
Total,21 Años,21,Mujeres,960314
Total,22 Años,22,Hombres,1061846
Total,22 Años,22,Mujeres,1067065
Total,23 Años,23,Hombres,1005112
Total,23 Años,23,Mujeres,1028971
Total,24 Años,24,Hombres,995458
Total,24 Años,24,Mujeres,1038258
Total,25 Años,25,Hombres,1063775
Total,25 Años,25,Mujeres,1115241
Total,26 Años,26,Hombres,954163
Total,26 Años,26,Mujeres,1022308
Total,27 Años,27,Hombres,955081
Total,27 Años,27,Mujeres,999565
Total,28 Años,28,Hombres,1001692
Total,28 Años,28,Mujeres,1042848
Total,29 Años,29,Hombres,886693
Total,29 Años,29,Mujeres,951635
Total,30 Años,30,Hombres,1148015
Total,30 Años,30,Mujeres,1218303
Total,31 Años,31,Hombres,734272
Total,31 Años,31,Mujeres,807132
Total,32 Años,32,Hombres,959947
Total,32 Años,32,Mujeres,1037842
Total,33 Años,33,Hombres,849187
Total,33 Años,33,Mujeres,927893
Total,34 Años,34,Hombres,836305
Total,34 Años,34,Mujeres,901931
Total,35 Años,35,Hombres,966246
Total,35 Años,35,Mujeres,1036930
Total,36 Años,36,Hombres,870975
Total,36 Años,36,Mujeres,957381
Total,37 Años,37,Hombres,767996
Total,37 Años,37,Mujeres,832855
Total,38 Años,38,Hombres,941824
Total,38 Años,38,Mujeres,1000225
Total,39 Años,39,Hombres,784489
Total,39 Años,39,Mujeres,861355
Total,40 Años,40,Hombres,1059322
Total,40 Años,40,Mujeres,1146683
